station,reseau,trafic,arrondissement,nb_corr,lat,lon
RIQUET,Métro,1226397,19.0,1,48.8884812,2.3742226
PORTE D'IVRY,Métro,1055770,13.0,1,48.8216035,2.3693411
CHATEAU-LANDON,Métro,1009087,10.0,1,48.8789087,2.3624266
RUE DU BAC,Métro,916367,7.0,1,48.855187,2.3257952
HOCHE,Métro,2616315,,1,48.876362,2.3015161
CHARONNE,Métro,1815517,12.0,1,48.8547411,2.3853043
SAINT-SEBASTIEN-FROISSART,Métro,816381,3.0,1,48.8611816,2.367234
CHARLES DE GAULLE-ETOILE-RER,RER,4070214,17.0,1,48.8743343,2.2940558
GABRIEL PERI,Métro,2667469,,1,48.8753997,2.3239942
CRETEIL-UNIVERSITE,Métro,1935234,,1,,
DUPLEIX,Métro,1839499,15.0,1,48.8504095,2.2936611
PELLEPORT,Métro,178325,20.0,1,48.8680997,2.4013152
ORSAY-VILLE,RER,1383444,,1,48.8564794,2.3640381
LA MUETTE,Métro,2114924,16.0,1,48.8579754,2.274062
CHATEAU D'EAU,Métro,2069680,10.0,1,48.87288,2.3563957
FAIDHERBE-CHALIGNY,Métro,1570746,12.0,1,48.8501609,2.3842222
ETIENNE MARCEL,Métro,1254829,1.0,1,48.8639526,2.3493931
STRASBOURG-SAINT-DENIS,Métro,4275630,2.0,3,48.8693002,2.3542855
BEL AIR,Métro,1168869,12.0,1,48.8413382,2.4009129
MALAKOFF-RUE ETIENNE DOLET,Métro,1054998,,1,,
PASTEUR,Métro,2625552,9.0,2,48.8429336,2.3125906
JULES JOFFRIN,Métro,1806947,18.0,1,48.8925349,2.3446536
VAUGIRARD,Métro,1709593,15.0,1,48.839587,2.3012795
AUBERVILLIERS-PANTIN-QUATRE CHEMINS,Métro,4131018,,1,,
TROCADERO,Métro,3618422,16.0,2,48.863045,2.2871938
SAINT-DENIS-PORTE DE PARIS,Métro,2236506,,1,48.9299051,2.3562136
LES AGNETTES,Métro,1283180,,1,,
CENSIER-DAUBENTON,Métro,1557698,6.0,1,48.8406473,2.3519334
GUY MOQUET,Métro,1191891,17.0,1,48.8927389,2.3273435
GARE DE LYON-RER,RER,21749596,12.0,1,48.8436635,2.3744869
PONT NEUF,Métro,605030,4.0,1,48.8565248,2.3408169
ARCUEIL-CACHAN,RER,1900758,,1,,
PALAISEAU,RER,518346,,1,48.7114844,2.189352
LES HALLES,Métro,8019633,1.0,1,48.8624547,2.3460596
GAMBETTA,Métro,3310515,20.0,2,48.8649327,2.3980541
DAUMESNIL,Métro,2723508,12.0,2,48.8395922,2.3962319
SEVRES-BABYLONE,Métro,2441636,7.0,2,48.8514598,2.3268704
MONTGALLET,Métro,804190,12.0,1,48.844304,2.3901962
NATIONALE,Métro,1360198,13.0,1,48.8331995,2.3628272
MICHEL BIZOT,Métro,910938,12.0,1,48.8370694,2.4024586
SEGUR,Métro,804110,15.0,1,48.8469753,2.3074451
RENNES,Métro,506779,6.0,1,48.848198,2.3277771
BURES-SUR-YVETTE,RER,333714,,1,,
TELEGRAPHE,Métro,1194040,20.0,1,48.8754961,2.3989653
